fecha;high;low
2025-04-02;18,9;9,5
2025-04-03;20,3;8,4
2025-04-04;19,6;11,1
2025-04-05;19,1;10,3
2025-04-06;19,8;11,4
2025-04-07;19,9;10,1
2025-04-08;17,9;11,9
2025-04-09;19,9;11,2
2025-04-10;19,1;10,9
2025-04-11;19,9;10,2
2025-04-12;21,3;7,3
2025-04-13;21,5;8,6
2025-04-14;22,2;8,4
2025-04-15;21,3;7,9
2025-04-16;21,3;7,6
2025-04-17;20,6;10,1
2025-04-18;20,4;10,6
2025-04-19;21,3;10,3
2025-04-20;20,6;11,5
2025-04-21;19,8;11,6
2025-04-22;19,7;9,8
2025-04-23;20,0;9,2
2025-04-24;18,7;11,0
2025-04-25;20,1;10,9
2025-04-26;18,2;10,9
2025-04-27;20,8;10,4
2025-04-28;19,9;11,4
2025-04-29;20,5;8,6
2025-04-30;19,2;11,7
2024-05-01;20,2;11,2
2024-05-02;21,3;9,5
2024-05-03;20,5;11,5
2024-05-04;21,0;10,4
2024-05-05;19,8;11,5
2024-05-06;21,1;9,1
2024-05-07;22,2;9,1
2024-05-08;21,6;9,0
2024-05-09;18,7;10,1
2024-05-10;20,2;11,6
2024-05-11;22,3;9,6
2024-05-12;19,7;9,7
2024-05-13;22,1;10,6
2024-05-14;21,6;8,7
2024-05-15;20,9;9,8
2024-05-16;20,7;10,8
2024-05-17;20,8;9,0
2024-05-18;21,4;7,8
2024-05-19;20,4;8,3
2024-05-20;19,6;10,3
2024-05-21;20,0;11,4
2024-05-22;19,9;10,4
2024-05-23;21,6;9,0
2024-05-24;22,4;8,2
2024-05-25;19,4;9,4
2024-05-26;19,8;9,6
2024-05-27;20,0;10,1
2024-05-28;21,3;11,6
2024-05-29;18,7;11,9
2024-05-30;18,8;11,2
2024-05-31;19,5;11,1
2025-05-01;19,3;9,4
2025-05-02;20,4;10,4
2025-05-03;17,4;11,4
2025-05-04;19,8;10,0
2025-05-05;17,4;11,4
2025-05-06;19,7;9,1
2025-05-07;18,1;11,1
2025-05-08;20,5;9,6
2025-05-09;18,6;8,4
2025-05-10;19,8;9,8
2025-05-11;19,2;11,2
2025-05-12;19,3;10,8
2025-05-13;18,8;11,1
2025-05-14;19,9;10,3
2025-05-15;17,9;9,9
2025-05-16;19,3;9,9
2025-05-17;18,3;10,0
2025-05-18;19,0;10,1
2025-05-19;18,9;10,3
2025-05-20;19,6;11,7
2025-05-21;18,6;10,8
2025-05-22;15,2;10,4
2025-05-23;19,6;9,7
2025-05-24;19,2;10,4
2025-05-25;19,1;7,3
2025-05-26;19,1;11,0
2025-05-27;19,4;8,9
2025-05-28;19,4;8,4
2025-05-29;19,6;9,4
2025-05-30;18,0;9,8
2025-05-31;18,2;11,1
2024-06-01;20,3;9,3
2024-06-02;20,5;10,9
2024-06-03;19,9;12,4
2024-06-04;18,2;10,3
2024-06-05;18,4;10,5
2024-06-06;19,3;8,0
2024-06-07;19,3;8,3
2024-06-08;20,3;9,1
2024-06-09;19,6;9,9
2024-06-10;20,0;10,1
2024-06-11;18,9;9,4
2024-06-12;19,8;7,3
2024-06-13;21,0;7,8
2024-06-14;20,8;8,4
2024-06-15;18,1;9,4
2024-06-16;17,5;8,3
2024-06-17;20,6;5,6
2024-06-18;20,8;8,8
2024-06-19;18,5;10,1
2024-06-20;20,1;9,0
2024-06-21;18,9;8,3
2024-06-22;19,6;8,2
2024-06-23;18,6;8,8
2024-06-24;20,8;7,1
2024-06-25;18,5;9,6
2024-06-26;19,0;9,2
2024-06-27;19,1;8,6
2024-06-28;18,2;9,4
2024-06-29;20,9;6,2
2024-06-30;20,9;8,4
2025-06-01;18,3;9,8
2025-06-02;18,6;9,7
2025-06-03;18,6;11,6
2025-06-04;18,6;10,5
2025-06-05;17,8;10,4
2025-06-06;18,1;8,3
2025-06-07;17,4;9,6
2025-06-08;19,4;9,5
2025-06-09;18,3;8,7
2025-06-10;17,4;10,7
2025-06-11;18,8;9,5
2025-06-12;18,7;8,5
2025-06-13;18,5;11,4
2025-06-14;19,2;10,4
2025-06-15;19,9;10,4
2025-06-16;19,1;7,9
2025-06-17;19,0;8,5
2025-06-18;17,0;9,3
2025-06-19;18,1;7,2
2025-06-20;18,6;8,8
2025-06-21;18,5;10,9
2025-06-22;18,3;11,2
2025-06-23;20,8;11,3
2025-06-24;17,6;9,9
2025-06-25;17,7;6,3
2025-06-26;20,3;6,3
2025-06-27;18,7;8,3
2025-06-28;18,3;7,9
2025-06-29;18,4;7,1
2025-06-30;18,0;10,2
2024-07-01;21,1;8,5
2024-07-02;19,5;9,5
2024-07-03;19,7;11,5
2024-07-04;19,7;10,3
2024-07-05;16,6;11,3
2024-07-06;18,3;6,9
2024-07-07;17,9;8,3
2024-07-08;18,8;5,1
2024-07-09;19,0;7,0
2024-07-10;19,8;7,7
2024-07-11;20,1;4,8
2024-07-12;19,7;6,4
2024-07-13;17,7;9,2
2024-07-14;18,7;8,1
2024-07-15;19,8;9,0
2024-07-16;19,0;10,4
2024-07-17;17,5;10,5
2024-07-18;18,7;10,5
2024-07-19;18,3;9,3
2024-07-20;18,4;9,8
2024-07-21;19,0;10,4
2024-07-22;17,6;9,9
2024-07-23;17,9;10,3
2024-07-24;19,1;9,1
2024-07-25;18,1;9,3
2024-07-26;18,7;7,6
2024-07-27;19,0;10,0
2024-07-28;17,9;9,0
2024-07-29;20,2;9,3
2024-07-30;17,8;10,2
2024-07-31;17,6;9,2
2025-07-01;16,9;9,4
2025-07-02;17,5;8,4
2025-07-03;16,4;8,9
2025-07-04;16,5;8,8
2025-07-05;17,0;10,3
2025-07-06;17,9;9,1
2025-07-07;18,5;8,6
2025-07-08;17,7;8,7
2025-07-09;17,3;10,0
2025-07-10;18,2;9,9
2025-07-11;18,5;10,6
2025-07-12;16,1;10,9
2025-07-13;17,6;10,1
2025-07-14;18,1;9,5
2025-07-15;18,1;10,2
2025-07-16;17,9;7,9
2025-07-17;18,2;10,4
2025-07-18;19,0;11,2
2025-07-19;16,7;11,0
2025-07-20;18,5;11,2
2025-07-21;18,9;8,9
2025-07-22;18,5;9,0
2025-07-23;18,8;10,3
2025-07-24;18,8;10,2
2025-07-25;19,0;10,7
2025-07-26;17,6;9,4
2025-07-27;19,6;9,6
2025-07-28;19,4;8,2
2025-07-29;18,4;7,2
2025-07-30;18,8;9,0
2025-07-31;20,1;7,1
2024-08-01;17,9;6,8
2024-08-02;20,3;6,5
2024-08-03;21,3;8,6
2024-08-04;22,2;7,0
2024-08-05;20,8;8,4
2024-08-06;20,3;9,2
2024-08-07;20,3;8,0
2024-08-08;22,2;6,1
2024-08-09;21,1;7,0
2024-08-10;18,3;7,9
2024-08-11;20,3;8,4
2024-08-12;20,3;5,4
2024-08-13;19,3;9,6
2024-08-14;19,7;7,1
2024-08-15;20,8;8,1
2024-08-16;19,0;7,9
2024-08-17;19,2;7,1
2024-08-18;20,4;4,3
2024-08-19;18,9;7,1
2024-08-20;20,1;6,7
2024-08-21;20,5;5,6
2024-08-22;21,0;7,7
2024-08-23;20,5;6,5
2024-08-24;20,3;6,8
2024-08-25;18,3;7,5
2024-08-26;18,5;7,6
2024-08-27;19,2;6,0
2024-08-28;19,7;7,4
2024-08-29;19,7;7,1
2024-08-30;19,6;5,1
2024-08-31;20,4;5,0
2025-08-01;19,8;8,3
2025-08-02;19,4;9,5
2025-08-03;18,8;9,9
2025-08-04;18,1;9,6
2025-08-05;19,6;5,8
2025-08-06;20,1;6,7
2025-08-07;18,8;7,8
2025-08-08;18,4;11,1
2025-08-09;17,2;10,1
2025-08-10;19,0;9,8
2025-08-11;17,9;10,1
2025-08-12;19,6;7,3
2025-08-13;16,8;6,7
2025-08-14;18,2;6,4
2025-08-15;18,4;10,6
2025-08-16;19,3;9,3
2025-08-17;19,3;10,0
2025-08-18;20,2;10,2
2025-08-19;19,5;9,4
2025-08-20;20,4;7,5
2025-08-21;20,0;8,0
2025-08-22;19,2;7,8
2025-08-23;19,6;9,8
2025-08-24;20,8;7,4
2025-08-25;17,2;9,6
2025-08-26;16,2;8,3
2025-08-27;18,0;10,7
2025-08-28;18,6;10,3
2025-08-29;18,7;8,2
2025-08-30;22,5;7,6
2025-08-31;20,6;8,9
2024-09-01;20,9;6,8
2024-09-02;20,8;6,1
2024-09-03;21,6;6,0
2024-09-04;21,6;9,3
2024-09-05;20,5;8,6
2024-09-06;20,9;7,5
2024-09-07;20,5;9,2
2024-09-08;19,8;10,2
2024-09-09;20,5;9,0
2024-09-10;20,0;6,8
2024-09-11;21,0;7,0
2024-09-12;21,2;10,4
2024-09-13;20,8;8,4
2024-09-14;22,2;7,9
2024-09-15;21,8;8,3
2024-09-16;21,2;8,5
2024-09-17;20,5;9,6
2024-09-18;22,9;7,0
2024-09-19;21,7;8,4
2024-09-20;20,9;6,8
2024-09-21;21,0;9,5
2024-09-22;22,0;8,0
2024-09-23;21,9;8,1
2024-09-24;21,1;6,9
2024-09-25;21,3;6,4
2024-09-26;21,5;8,5
2024-09-27;21,4;8,4
2024-09-28;20,4;9,6
2024-09-29;16,6;10,9
2024-09-30;19,1;8,0
2025-09-01;18,9;9,2
2025-09-02;19,3;9,6
2025-09-03;18,6;7,2
2025-09-04;18,3;10,9
2025-09-05;18,1;8,2
2025-09-06;18,5;8,2
2025-09-07;18,6;9,1
2025-09-08;19,5;9,2
2025-09-09;19,8;8,2
2025-09-10;18,6;6,8
2025-09-11;19,2;8,6
2025-09-12;20,1;8,5
2025-09-13;19,3;9,1
2025-09-14;19,2;6,6
2025-09-15;18,5;10,2
2025-09-16;20,1;10,1
2025-09-17;21,4;7,9
2025-09-18;19,4;10,4
2025-09-19;20,0;9,7
2025-09-20;19,5;11,1
2025-09-21;20,6;7,1
2025-09-22;21,8;7,1
2025-09-23;19,9;8,2
2025-09-24;18,8;8,7
2025-09-25;19,9;9,4
2025-09-26;19,0;7,2
2025-09-27;19,9;10,3
2025-09-28;18,1;9,5
2025-09-29;19,3;9,6
2025-09-30;18,8;11,1
2024-10-01;21,0;5,7
2024-10-02;23,0;7,3
2024-10-03;21,9;8,3
2024-10-04;20,4;6,5
2024-10-05;21,4;7,3
2024-10-06;20,9;8,9
2024-10-07;21,1;8,4
2024-10-08;20,5;8,2
2024-10-09;20,6;10,6
2024-10-10;18,9;7,8
2024-10-11;21,4;5,8
2024-10-12;21,7;5,0
2024-10-13;18,7;7,6
2024-10-14;19,2;6,7
2024-10-15;20,1;9,3
2024-10-16;21,1;7,4
2024-10-17;21,5;8,3
2024-10-18;22,2;7,9
2024-10-19;21,1;9,8
2024-10-20;21,2;8,1
2024-10-21;22,2;8,6
2024-10-22;21,2;10,5
2024-10-23;20,8;9,1
2024-10-24;21,2;7,9
2024-10-25;22,7;6,2
2024-10-26;21,5;7,1
2024-10-27;20,3;9,3
2024-10-28;19,6;8,8
2024-10-29;20,9;7,7
2024-10-30;20,8;8,1
2024-10-31;21,2;10,6
2025-10-01;19,4;10,1
2025-10-02;19,1;9,8
2025-10-03;19,3;10,2
2025-10-04;19,7;8,4
2025-10-05;19,3;9,7
2025-10-06;20,6;8,1
2025-10-07;19,4;9,6
2025-10-08;18,0;8,1
2025-10-09;19,2;8,8
2025-10-10;19,1;11,2
2025-10-11;19,3;10,5
2025-10-12;19,6;10,1
2025-10-13;18,9;8,2
2025-10-14;17,0;9,4
2025-10-15;19,7;7,8
2025-10-16;19,6;10,4
2025-10-17;18,2;10,8
2025-10-18;18,3;10,6
2025-10-19;19,0;7,9
2025-10-20;20,0;9,7
2025-10-21;19,9;10,0
2025-10-22;20,8;11,3
2025-10-23;20,4;10,4
2025-10-24;19,5;11,8
2025-10-25;19,9;10,7
2025-10-26;19,3;9,8
2025-10-27;20,6;10,0
2025-10-28;19,5;9,9
2025-10-29;19,9;8,5
2025-10-30;20,1;9,2
2025-10-31;18,5;10,0
2024-11-01;20,1;9,8
2024-11-02;21,3;8,9
2024-11-03;21,2;8,3
2024-11-04;17,6;8,5
2024-11-05;20,7;9,7
2024-11-06;21,8;7,9
2024-11-07;22,6;6,9
2024-11-08;18,3;9,1
2024-11-09;20,5;10,2
2024-11-10;18,7;9,1
2024-11-11;19,7;8,1
2024-11-12;19,7;9,2
2024-11-13;20,0;11,1
2024-11-14;18,8;11,1
2024-11-15;19,0;9,7
2024-11-16;19,8;10,4
2024-11-17;19,6;9,4
2024-11-18;20,0;10,6
2024-11-19;20,5;9,6
2024-11-20;18,9;8,7
2024-11-21;18,6;11,0
2024-11-22;18,0;10,3
2024-11-23;17,6;10,6
2024-11-24;19,3;10,0
2024-11-25;20,3;6,7
2024-11-26;20,8;6,8
2024-11-27;21,1;6,9
2024-11-28;20,5;7,6
2024-11-29;18,6;8,3
2024-11-30;19,1;6,7
2025-11-01;20,0;8,0
2025-11-02;20,6;8,5
2025-11-03;21,7;8,7
2025-11-04;21,9;11,1
2025-11-05;21,7;10,2
2025-11-06;18,8;10,6
2025-11-07;21,9;7,9
2025-11-08;22,7;8,3
2025-11-09;21,4;9,7
2025-11-10;20,6;11,5
2025-11-11;21,8;9,5
2025-11-12;22,5;11,4
2025-11-13;21,1;10,8
2025-11-14;19,9;11,7
2025-11-15;18,5;11,4
2025-11-16;18,3;11,8
2025-11-17;20,6;11,3
2025-11-18;20,9;10,4
2025-11-19;20,6;9,4
2025-11-20;20,1;8,6
2025-11-21;20,5;9,0
2025-11-22;21,8;9,8
2025-11-23;20,9;11,2
2025-11-24;20,0;11,3
2025-11-25;20,5;10,3
2025-11-26;20,2;8,7
2025-11-27;20,7;10,0
2025-11-28;20,2;10,3
2025-11-29;20,7;7,7
2025-11-30;19,4;10,4
2024-12-01;20,8;7,3
2024-12-02;21,3;7,7
2024-12-03;21,9;9,3
2024-12-04;22,2;10,2
2024-12-05;22,5;8,4
2024-12-06;20,3;11,4
2024-12-07;20,0;11,5
2024-12-08;20,4;11,4
2024-12-09;19,6;8,6
2024-12-10;19,3;6,8
2024-12-11;23,1;6,5
2024-12-12;21,7;10,2
2024-12-13;21,7;11,8
2024-12-14;21,6;11,0
2024-12-15;20,9;10,3
2024-12-16;20,5;11,0
2024-12-17;20,5;7,9
2024-12-18;20,8;8,3
2024-12-19;21,5;7,9
2024-12-20;23,7;8,4
2024-12-21;19,8;9,5
2024-12-22;20,6;8,9
2024-12-23;21,3;9,1
2024-12-24;21,1;10,3
2024-12-25;21,9;9,1
2024-12-26;21,8;8,9
2024-12-27;20,1;10,0
2024-12-28;18,7;10,2
2024-12-29;19,4;10,3
2024-12-30;18,6;10,9
2024-12-31;21,7;10,2
2025-12-01;19,8;9,9
2025-12-02;18,7;10,8
2025-12-03;20,3;10,2
2025-12-04;18,9;10,1
2025-12-05;17,4;10,7
2025-12-06;19,3;9,2
2025-12-07;19,0;8,1
2025-12-08;19,4;7,8
2025-12-09;19,6;9,2
