presentacion,precio_actual,precio_lista,descuento_pct,enlace,supermercado,cerveza
Cerveza CLUB COLOMBIA latón dorada six pack (2838 ml),$ 30.300,NA,NA,/cerveza-club-colombia-laton-cerveza-2838-ml-3176316/p,exito,club colombia
Cerveza CLUB COLOMBIA lata dorada (330 ml),$ 3.800,NA,NA,/cerveza-lata-dorada-446651/p,exito,club colombia
Cerveza CLUB COLOMBIA trigo (330 ml),$ 3.900,$ 4.000,NA,/cerveza-club-colombia-cerveza-trigo-330-ml-3188964/p,exito,club colombia
Combo Mundial 2 Cerveza CLUB COLOMBIA lata dorada (1980 + Pasabocas DETODITO de BBQ (165 gr) + Maní LA ESPECIAL con sal (180 gr),$ 38.065,$ 39.050,NA,/combomundialista2/p,exito,club colombia
Cerveza CLUB COLOMBIA lata roja (330 ml),$ 3.700,$ 3.900,NA,/cerveza-lata-roja-702071/p,exito,club colombia
Cerveza CLUB COLOMBIA botella dorada (330 ml),$ 4.480,NA,NA,/cerveza-dorada-en-botella-x-330-ml-713925/p,exito,club colombia
Cerveza CLUB COLOMBIA latón dorada (473 ml),$ 5.050,NA,NA,/cerveza-club-colombia-laton-cerveza-473-ml-3176315/p,exito,club colombia
Clob X Clobetasol Propionato .05% (P/V)/0 Cha Topica Caj 1 Fra 125 Ml,$ 189.850,NA,NA,/clob-x-clobetasol-propionato-05-p-v-cha-topica-caj-1-fra-125-ml-100685280-mp/p,exito,club colombia
Buchanan's Deluxe 750 ml + Gratis Six Pack Club Colombia Dorada Lata 330 ml,$ 200.178,$ 202.800,NA,/buchanan-s-deluxe-750-ml---gratis-six-pack-club-colombia-dorada-lata-330-ml/p,exito,club colombia
Piñatas Clubes De Futbol De Colombia + Kit De Fiesta,$ 54.900,NA,NA,/pinatas-clubes-de-futbol-de-colombia-104867926-mp/p,exito,club colombia
Cerveza CLUB COLOMBIA lata dorada (1980 ml),$ 22.200,$ 22.800,NA,/cerveza-x-6-lata-dorada-club-colombia-446650/p,carulla,club colombia
Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,$ 22.200,NA,NA,/cerveza-x-6-lata-roja-club-colombia-703079/p,carulla,club colombia
Cerveza CLUB COLOMBIA trigo six pack (1980 ml),$ 23.400,NA,NA,/cerveza-club-colombia-cerveza-trigo-1980-ml-3188965/p,carulla,club colombia
Cerveza CLUB COLOMBIA botella dorada six pack (1980 ml),$ 27.700,NA,NA,/cerveza-dorada-sixpack-en-botellla-x-330-ml-cu-713927/p,carulla,club colombia
Cerveza CLUB COLOMBIA lata dorada (330 ml),$ 3.800,$ 3.900,NA,/cerveza-lata-dorada-446651/p,carulla,club colombia
Cerveza CLUB COLOMBIA latón dorada six pack (2838 ml),$ 31.900,NA,NA,/cerveza-club-colombia-laton-cerveza-2838-ml-3176316/p,carulla,club colombia
Cerveza CLUB COLOMBIA lata negra (330 ml),$ 3.900,NA,NA,/cerveza-negra-lata-x-330-ml-34986/p,carulla,club colombia
Cerveza CLUB COLOMBIA trigo (330 ml),$ 3.900,$ 4.000,NA,/cerveza-club-colombia-cerveza-trigo-330-ml-3188964/p,carulla,club colombia
Cerveza CLUB COLOMBIA botella dorada (330 ml),$ 4.700,NA,NA,/cerveza-dorada-en-botella-x-330-ml-713925/p,carulla,club colombia
Cerveza CLUB COLOMBIA lata roja (330 ml),$ 3.700,$ 4.000,NA,/cerveza-lata-roja-702071/p,carulla,club colombia
Cerveza CLUB COLOMBIA latón dorada (473 ml),$ 5.400,NA,NA,/cerveza-club-colombia-laton-cerveza-473-ml-3176315/p,carulla,club colombia
Cerveza CLUB COLOMBIA lata negra (1980 ml),$ 22.200,$ 23.500,NA,/cerveza-x6-lata-negra-276293/p,carulla,club colombia
Clob X Clobetasol Propionato .05% (P/V)/0 Cha Topica Caj 1 Fra 125 Ml,$ 189.850,NA,NA,/clob-x-clobetasol-propionato-05-p-v-cha-topica-caj-1-fra-125-ml-100685280-mp/p,carulla,club colombia
Cerveza Club Colombia Dorada lata x6und x330ml c-u,$ 22.200,,NA,/cerveza-club-colombia-dorada-lata-x-330ml-sixpack/p,jumbo,club colombia
Cerveza Club Colombia Trigo Lata 330ml x6 Und,$ 23.990,,NA,/cerveza-club-colombia-trigo-lata-330ml-x6-und/p,jumbo,club colombia
Cerveza Club Colombia Roja lata x6und x330ml,$ 22.200,,NA,/cerveza-club-colombia-roja-lata-sixpack-x-330-ml/p,jumbo,club colombia
Cerveza Club Colombia Dorada x6und x330ml c-u,$ 24.550,,NA,/cerveza-club-colombia-sixpack-botella-x-330-ml/p,jumbo,club colombia
Cerveza Club Colombia Lata 6 Unidades 473 C-U,$ 29.400,,NA,/cerveza-club-colombia-lata-6-unidades-473/p,jumbo,club colombia
Cerveza Club Colombia Trigo Lata 330ml x1 Und,$ 3.690,,NA,/cerveza-club-colombia-trigo-lata-330ml-x1-und/p,jumbo,club colombia
Cerveza Club Colombia Lata 473 ml,$ 3.990,,NA,/cerveza-club-colombia-lata-473-ml/p,jumbo,club colombia
Cerveza Club Colombia Roja lata x330ml,$ 3.790,,NA,/cerveza-roja-club-colombia-lata-x-330-ml/p,jumbo,club colombia
Cerveza Club Colombia Dorada lata x330ml,$ 3.600,,NA,/cerveza-club-colombia-lata-x-330ml/p,jumbo,club colombia
Cerveza Club Colombia Dorada botella x330ml,$ 4.090,,NA,/cerveza-club-colombia-botella-x-330-ml/p,jumbo,club colombia
