presentacion,precio_texto,termino_busqueda,supermercado,precio,volumen_ml_base,es_pack_x6,volumen_parece_unitario,volumen_ml,precio_por_ml
Cerveza CLUB COLOMBIA lata dorada (1980 ml),$ 22.200,club colombia,Carulla,22200,1980,FALSE,FALSE,1980,11.21
Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,$ 22.200,club colombia,Carulla,22200,1980,TRUE,FALSE,1980,11.21
Cerveza CLUB COLOMBIA trigo six pack (1980 ml),$ 23.400,club colombia,Carulla,23400,1980,TRUE,FALSE,1980,11.82
Cerveza CLUB COLOMBIA botella dorada six pack (1980 ml),$ 27.700,club colombia,Carulla,27700,1980,TRUE,FALSE,1980,13.99
Cerveza CLUB COLOMBIA lata negra (330 ml),$ 3.900,club colombia,Carulla,3900,330,FALSE,TRUE,330,11.82
Cerveza CLUB COLOMBIA trigo (330 ml),$ 3.900,club colombia,Carulla,3900,330,FALSE,TRUE,330,11.82
Cerveza CLUB COLOMBIA lata dorada (330 ml),$ 3.800,club colombia,Carulla,3800,330,FALSE,TRUE,330,11.52
Cerveza CLUB COLOMBIA latón dorada six pack (2838 ml),$ 31.900,club colombia,Carulla,31900,2838,TRUE,FALSE,2838,11.24
Cerveza CLUB COLOMBIA lata roja (330 ml),$ 3.700,club colombia,Carulla,3700,330,FALSE,TRUE,330,11.21
Cerveza CLUB COLOMBIA botella dorada (330 ml),$ 4.700,club colombia,Carulla,4700,330,FALSE,TRUE,330,14.24
Cerveza CLUB COLOMBIA latón dorada (473 ml),$ 5.400,club colombia,Carulla,5400,473,FALSE,FALSE,473,11.42
Cerveza CLUB COLOMBIA lata negra (1980 ml),$ 22.200,club colombia,Carulla,22200,1980,FALSE,FALSE,1980,11.21
