fecha,high,low,url_origen
2024-03-02,31,12,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-03,19,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-04,20,9,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-05,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-06,20,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-07,17,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-08,19,11,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-09,21,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-10,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-11,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-12,21,11,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-13,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-14,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-15,18,9,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-16,18,7,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-17,19,7,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-18,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-19,18,7,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-20,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-21,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-22,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-23,18,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-24,17,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-25,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-26,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-27,18,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-28,17,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-29,17,9,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-30,18,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-04-01,21,10,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-02,31,12,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-03,19,10,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-04,20,9,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-05,20,10,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-06,20,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-07,17,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-08,19,11,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-09,21,10,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-10,20,10,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-11,20,10,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-12,21,11,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-13,20,10,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-14,20,10,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-15,18,9,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-16,18,7,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-17,19,7,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-18,19,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-19,18,7,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-20,19,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-21,19,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-22,19,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-23,18,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-24,17,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-25,19,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-26,19,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-27,18,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-28,17,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-29,17,9,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-04-30,18,8,https://www.accuweather.com/es/co/bogota/107487/april-weather/107487?year=2024
2024-05-01,21,10,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-02,31,12,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-03,19,10,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-04,20,9,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-05,20,10,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-06,20,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-07,17,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-08,19,11,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-09,21,10,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-10,20,10,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-11,20,10,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-12,21,11,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-13,20,10,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-14,20,10,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-15,18,9,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-16,18,7,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-17,19,7,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-18,19,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-19,18,7,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-20,19,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-21,19,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-22,19,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-23,18,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-24,17,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-25,19,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-26,19,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-27,18,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-28,17,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-29,17,9,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-05-30,18,8,https://www.accuweather.com/es/co/bogota/107487/may-weather/107487?year=2024
2024-06-01,21,10,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-02,31,12,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-03,19,10,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-04,20,9,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-05,20,10,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-06,20,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-07,17,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-08,19,11,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-09,21,10,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-10,20,10,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-11,20,10,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-12,21,11,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-13,20,10,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-14,20,10,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-15,18,9,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-16,18,7,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-17,19,7,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-18,19,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-19,18,7,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-20,19,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-21,19,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-22,19,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-23,18,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-24,17,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-25,19,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-26,19,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-27,18,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-28,17,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-29,17,9,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-06-30,18,8,https://www.accuweather.com/es/co/bogota/107487/june-weather/107487?year=2024
2024-07-01,21,10,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-02,31,12,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-03,19,10,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-04,20,9,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-05,20,10,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-06,20,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-07,17,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-08,19,11,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-09,21,10,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-10,20,10,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-11,20,10,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-12,21,11,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-13,20,10,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
